gamma负载余量,delta光伏余量,总费用万元,计划购电费万元,紧急购电费万元
1.00,0.90,1455.1,1318.9,136.1
1.00,0.94,1476.7,1279.2,197.5
1.00,0.98,1548.7,1241.6,307.1
1.00,1.00,1602.4,1223.7,378.7
1.00,1.04,1744.9,1190.1,554.7
1.02,0.90,1453.0,1372.2,80.7
1.02,0.94,1444.3,1331.6,112.7
1.02,0.98,1473.3,1293.0,180.3
1.02,1.00,1505.6,1274.5,231.1
1.02,1.04,1606.7,1239.7,367.0
1.04,0.90,1479.1,1423.8,55.4
1.04,0.94,1455.8,1382.2,73.6
1.04,0.98,1451.9,1342.7,109.3
1.04,1.00,1464.9,1323.7,141.3
1.04,1.04,1523.1,1287.6,235.5
1.05,0.90,1496.4,1449.7,46.7
1.05,0.94,1469.3,1407.7,61.6
1.05,0.98,1454.7,1367.6,87.0
1.05,1.00,1458.9,1348.4,110.5
1.05,1.04,1496.8,1311.6,185.1
1.06,0.90,1515.1,1475.7,39.4
1.06,0.94,1485.0,1433.3,51.8
1.06,0.98,1464.0,1392.7,71.2
1.06,1.00,1461.1,1373.2,87.9
1.06,1.04,1482.6,1335.9,146.8
1.08,0.90,1555.4,1528.0,27.4
1.08,0.94,1521.1,1484.8,36.3
1.08,0.98,1492.3,1443.3,49.0
1.08,1.00,1481.3,1423.3,58.0
1.08,1.04,1476.5,1384.8,91.6
1.10,0.90,1598.8,1580.8,18.0
1.10,0.94,1561.7,1536.7,25.0
1.10,0.98,1528.7,1494.4,34.3
1.10,1.00,1514.4,1474.0,40.5
1.10,1.04,1492.3,1434.5,57.8
