预测方法,gamma负载余量,delta光伏余量,总费用万元,计划购电费万元,紧急购电费万元,紧急购电量MWh,总费用元
pers,1.00,1.00,2244.8,1223.7,1021.1,1886.5,22448451.75
pers,1.05,1.00,2139.4,1345.8,793.6,1485.0,21393891.52
pers,1.10,1.00,2197.6,1471.2,726.4,1339.0,21975828.64
pers,1.05,0.95,2158.9,1394.8,764.1,1426.2,21588593.02
pers,1.10,0.90,2269.3,1577.8,691.4,1254.4,22692650.95
w1,1.00,1.00,1602.4,1223.7,378.7,629.0,16023698.97
w1,1.05,1.00,1458.9,1348.4,110.5,182.6,14588942.34
w1,1.10,1.00,1514.4,1474.0,40.5,66.2,15144193.37
w1,1.05,0.95,1464.1,1397.5,66.6,111.8,14640661.58
w1,1.10,0.90,1598.8,1580.8,18.0,29.9,15988138.64
wk2,1.00,1.00,1652.3,1222.2,430.1,722.2,16522848.48
wk2,1.05,1.00,1490.8,1346.4,144.4,236.8,14908489.65
wk2,1.10,1.00,1521.5,1472.3,49.2,79.9,15214720.48
wk2,1.05,0.95,1482.2,1395.7,86.6,143.7,14822155.78
wk2,1.10,0.90,1597.6,1579.5,18.1,30.2,15975564.55
wk4,1.00,1.00,1774.9,1221.7,553.2,948.0,17748936.25
wk4,1.05,1.00,1574.7,1344.9,229.7,382.6,15746588.83
wk4,1.10,1.00,1548.2,1471.3,76.9,125.6,15482251.78
wk4,1.05,0.95,1533.5,1394.4,139.1,235.4,15334663.88
wk4,1.10,0.90,1600.5,1579.0,21.5,35.1,16004991.57
ma7,1.00,1.00,2826.8,1172.0,1654.7,2737.2,28267525.99
ma7,1.05,1.00,2346.2,1287.4,1058.7,1702.4,23461516.18
ma7,1.10,1.00,1903.4,1410.3,493.1,775.7,19034157.21
ma7,1.05,0.95,2088.3,1338.6,749.7,1202.1,20883233.39
ma7,1.10,0.90,1686.3,1527.8,158.5,248.9,16863284.75
