时刻,时段序号,购电量kWh,购电功率kW,电价元每kWh,小区负载kW,光伏实际功率kW,储电量期初kWh,储电量期末kWh,实际充电量kWh,实际放电量kWh,计划充电量kWh,计划放电量kWh
0:10-0:20,1,689.0005,4134.0031,0.4248,3421.106,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
0:20-0:30,2,700.0703,4200.4218,0.4245,3361.9091,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
0:30-0:40,3,656.488,3938.928,0.4269,3388.6,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
0:40-0:50,4,618.062,3708.3723,0.4272,3591.0535,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
0:50-1:00,5,601.42,3608.52,0.4271,3639.0639,0.0,10800.0,10794.3437,0.0,5.0907,0.0,0.0
1:00-1:10,6,604.5445,3627.267,0.4285,3538.62,0.0,10794.3437,10800.0,6.2848,0.0,0.0,-0.0
1:10-1:20,7,615.5166,3693.0997,0.4311,3584.1201,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:20-1:30,8,612.0677,3672.4064,0.4302,3479.83,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:30-1:40,9,598.9795,3593.877,0.4279,3316.08,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:40-1:50,10,604.9917,3629.9502,0.4312,3504.3201,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:50-2:00,11,634.9013,3809.4079,0.4333,3611.1697,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:00-2:10,12,652.3597,3914.1585,0.4311,3543.64,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:10-2:20,13,616.128,3696.768,0.4293,3627.3783,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:20-2:30,14,601.3094,3607.8562,0.4324,3646.7973,0.0,10800.0,10792.7887,0.0,6.4902,0.0,0.0
2:30-2:40,15,634.2962,3805.7775,0.4367,3569.92,0.0,10792.7887,10800.0,8.0126,0.0,0.0,0.0
2:40-2:50,16,664.9447,3989.6682,0.4348,3591.0744,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:50-3:00,17,652.7369,3916.4216,0.4335,3523.6786,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
3:00-3:10,18,629.895,3779.37,0.4357,3402.03,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
3:10-3:20,19,659.1967,3955.18,0.4374,3470.8796,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
3:20-3:30,20,653.2011,3919.2067,0.4371,3546.3118,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
3:30-3:40,21,610.253,3661.518,0.4356,3521.1,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
3:40-3:50,22,619.9144,3719.4866,0.4353,3493.0415,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
3:50-4:00,23,642.5004,3855.0024,0.436,3616.52,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
4:00-4:10,24,656.9237,3941.5425,0.4378,3738.77,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
4:10-4:20,25,680.3269,4081.9613,0.4401,3573.138,0.0019,10800.0,10800.0,0.0,0.0,0.0,0.0
4:20-4:30,26,676.3554,4058.1325,0.4389,3548.8256,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
4:30-4:40,27,655.641,3933.846,0.4364,3696.43,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
4:40-4:50,28,664.9774,3989.8642,0.4393,3629.4046,0.0268,10800.0,10800.0,0.0,0.0,0.0,0.0
4:50-5:00,29,655.095,3930.5699,0.4422,3602.4949,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
5:00-5:10,30,620.9298,3725.5785,0.4395,3708.74,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
5:10-5:20,31,614.3364,3686.0184,0.4333,3751.3647,0.3731,10800.0,10787.9679,0.0,10.8289,0.0,0.0
5:20-5:30,32,637.9939,3827.9633,0.4439,3689.4488,0.0,10787.9679,10800.0,13.369,0.0,0.0,0.0
5:30-5:40,33,651.707,3910.242,0.4301,3557.68,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
5:40-5:50,34,626.8947,3761.3681,0.3713,3509.0644,5.1961,10800.0,10800.0,0.0,0.0,-0.0,0.0
5:50-6:00,35,691.9703,4151.8217,0.5708,4001.4806,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
6:00-6:10,36,0.0,0.0,0.9099,4743.74,0.0,10800.0,9921.5296,0.0,790.6233,0.0,808.6024
6:10-6:20,37,0.0,0.0,0.9368,4911.4158,148.7833,9921.5296,9039.5606,0.0,793.7721,0.0,797.2246
6:20-6:30,38,0.0,0.0,0.8758,4831.9735,376.0146,9039.5606,8214.3831,0.0,742.6598,0.0,732.5952
6:30-6:40,39,0.0,0.0,0.8759,4792.2,649.3875,8214.3831,7447.1956,0.0,690.4688,0.0,681.7116
6:40-6:50,40,0.0,0.0,0.8601,4757.3085,973.8044,7447.1956,6746.5467,0.0,630.584,0.0,637.7653
6:50-7:00,41,0.0,0.0,0.8442,4755.1526,1245.8597,6746.5467,6096.6776,0.0,584.8822,0.0,593.2017
7:00-7:10,42,0.0,0.0,0.8334,4789.05,1511.775,6096.6776,5489.7748,0.0,546.2125,0.0,541.0256
7:10-7:20,43,0.0,0.0,0.8092,4816.282,1907.945,5489.7748,4951.1939,0.0,484.7228,0.0,481.3191
