日期,时刻,时段序号,购电量kWh,购电功率kW,电价元每kWh,小区负载kW,光伏实际功率kW,储电量期初kWh,储电量期末kWh,实际充电量kWh,实际放电量kWh,计划充电量kWh,计划放电量kWh
2025-03-20,0:10-0:20,1,633.0015,3798.009,0.4248,3299.0689,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2025-03-20,0:20-0:30,2,627.43,3764.58,0.4245,3421.881,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2025-03-20,0:30-0:40,3,614.9868,3689.9205,0.4269,3683.11,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2025-03-20,0:40-0:50,4,624.1836,3745.1015,0.4272,3476.737,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2025-03-20,0:50-1:00,5,617.7087,3706.2522,0.4271,3302.6695,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2025-03-20,1:00-1:10,6,593.355,3560.13,0.4285,3426.94,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2025-03-20,1:10-1:20,7,586.7537,3520.5222,0.4311,3609.5343,0.0,10800.0,10783.5163,0.0,14.8353,0.0,0.0
2025-03-20,1:20-1:30,8,579.0585,3474.3508,0.4302,3668.9025,0.0,10783.5163,10747.4882,0.0,32.4253,0.0,0.0
2025-03-20,1:30-1:40,9,570.514,3423.084,0.4279,3589.3,0.0,10747.4882,10716.7074,0.0,27.7027,0.0,0.0
2025-03-20,1:40-1:50,10,586.8552,3521.1313,0.4312,3503.6157,0.0,10716.7074,10719.3348,2.9193,0.0,0.0,0.0
2025-03-20,1:50-2:00,11,621.7469,3730.4812,0.4333,3545.9703,0.0,10719.3348,10747.0114,30.7518,0.0,0.0,-0.0
2025-03-20,2:00-2:10,12,639.7527,3838.5165,0.4311,3590.66,0.0,10747.0114,10784.1899,41.3094,0.0,0.0,0.0
2025-03-20,2:10-2:20,13,609.8137,3658.8821,0.4293,3395.9017,0.0,10784.1899,10800.0,17.5668,0.0,0.0,0.0
2025-03-20,2:20-2:30,14,597.8747,3587.2482,0.4324,3276.7246,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2025-03-20,2:30-2:40,15,617.6082,3705.6495,0.4367,3394.28,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
2025-03-20,2:40-2:50,16,623.8919,3743.3515,0.4348,3587.5594,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2025-03-20,2:50-3:00,17,640.999,3845.9938,0.4335,3605.7268,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2025-03-20,3:00-3:10,18,656.0995,3936.597,0.4357,3522.79,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2025-03-20,3:10-3:20,19,625.8585,3755.1511,0.4374,3631.2618,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
2025-03-20,3:20-3:30,20,603.8192,3622.9151,0.4371,3731.3543,0.0,10800.0,10779.9187,0.0,18.0732,0.0,0.0
2025-03-20,3:30-3:40,21,616.4147,3698.4885,0.4356,3721.01,0.0,10779.9187,10775.748,0.0,3.7536,0.0,0.0
