日期,时间段,充电量kWh,放电量kWh,时刻,储电量kWh
2025-02-01,0:00-4:00,30.6644,0.0,0:00,10772.402
,4:00-8:00,0.0,5741.0013,24:00,10800.0
,8:00-12:00,4813.3346,977.6502,,
,12:00-16:00,3481.2968,0.0,,
,16:00-20:00,0.0,5349.7555,,
,20:00-24:00,9683.0985,2493.5542,,
2025-02-02,0:00-4:00,48.1533,39.0042,0:00,10800.0
,4:00-8:00,727.6439,589.3915,24:00,10800.0
,8:00-12:00,5614.5655,6580.8372,,
,12:00-16:00,4035.5417,1235.7497,,
,16:00-20:00,0.0,4493.528,,
,20:00-24:00,9907.6641,3531.6799,,
2025-02-03,0:00-4:00,2.0514,1.6616,0:00,10800.0
,4:00-8:00,719.0261,582.4111,24:00,10800.0
,8:00-12:00,5054.8967,7110.6164,,
,12:00-16:00,5435.3164,1386.4562,,
,16:00-20:00,0.0,4496.2485,,
,20:00-24:00,9994.9181,3599.6351,,
2025-02-04,0:00-4:00,0.0,0.0,0:00,10800.0
,4:00-8:00,717.5788,581.2388,24:00,10800.0
,8:00-12:00,5461.0409,6880.0501,,
,12:00-16:00,5316.0185,1849.368,,
,16:00-20:00,0.0,4349.6683,,
,20:00-24:00,9732.4134,3533.5865,,
2025-02-05,0:00-4:00,1.0486,0.8493,0:00,10800.0
,4:00-8:00,791.6805,641.2612,24:00,10800.0
,8:00-12:00,5016.8013,8043.277,,
,12:00-16:00,6841.7934,1562.1847,,
,16:00-20:00,0.0,4687.8343,,
,20:00-24:00,10171.3534,3550.9619,,
2025-02-06,0:00-4:00,21.8505,17.6989,0:00,10800.0
,4:00-8:00,750.1733,607.6403,24:00,10800.0
,8:00-12:00,5549.6348,6610.0907,,
,12:00-16:00,4640.5158,1643.9313,,
,16:00-20:00,0.0,4314.9977,,
,20:00-24:00,9793.3733,3617.6346,,
2025-02-07,0:00-4:00,0.0,0.0,0:00,10800.0
,4:00-8:00,0.0,5516.5285,24:00,10704.2805
,8:00-12:00,5287.5551,1376.388,,
,12:00-16:00,3222.2184,0.0,,
,16:00-20:00,0.0,5412.862,,
,20:00-24:00,10051.3126,2814.8487,,
2025-02-08,0:00-4:00,175.3855,55.9147,0:00,10704.2805
,4:00-8:00,0.0,6021.6975,24:00,10607.9541
,8:00-12:00,5571.8669,617.2231,,
,12:00-16:00,2624.3314,0.0,,
,16:00-20:00,0.9792,5610.0095,,
,20:00-24:00,10161.9168,2794.7776,,
2025-02-09,0:00-4:00,213.3843,0.0,0:00,10607.9541
,4:00-8:00,815.6656,660.6891,24:00,10709.6522
,8:00-12:00,4735.6152,7585.7625,,
,12:00-16:00,6817.9237,1772.604,,
,16:00-20:00,0.0,4700.7518,,
,20:00-24:00,10037.0308,3510.5561,,
2025-02-10,0:00-4:00,101.4454,0.8577,0:00,10709.6522
,4:00-8:00,770.1875,623.8519,24:00,10678.8326
,8:00-12:00,5182.1731,5697.9939,,
,12:00-16:00,3529.418,1358.3948,,
,16:00-20:00,0.0,4641.5227,,
,20:00-24:00,9976.1316,3548.1945,,
2025-02-11,0:00-4:00,134.6304,0.0,0:00,10678.8326
,4:00-8:00,785.1753,635.992,24:00,10517.1318
,8:00-12:00,5429.6487,6297.3139,,
,12:00-16:00,3732.7389,1124.2201,,
,16:00-20:00,0.0,4791.8925,,
,20:00-24:00,10077.5879,3625.5351,,
2025-02-12,0:00-4:00,314.298,0.0,0:00,10517.1318
,4:00-8:00,768.5046,622.4887,24:00,10681.3998
,8:00-12:00,5654.7201,5779.5843,,
,12:00-16:00,3406.1086,1559.6869,,
,16:00-20:00,2.5137,4635.582,,
,20:00-24:00,10033.7258,3600.5121,,
2025-02-13,0:00-4:00,141.799,8.117,0:00,10681.3998
,4:00-8:00,735.05,595.3905,24:00,10634.9721
,8:00-12:00,5290.8544,4746.2306,,
,12:00-16:00,1523.1687,773.1281,,
,16:00-20:00,0.0,4752.6095,,
,20:00-24:00,10096.6104,3574.17,,
2025-02-14,0:00-4:00,264.085,65.3838,0:00,10634.9721
,4:00-8:00,17.0267,6245.7308,24:00,10699.9523
,8:00-12:00,4695.0203,428.8094,,
,12:00-16:00,3528.1262,0.0,,
,16:00-20:00,5.3808,5493.872,,
,20:00-24:00,10052.1535,2742.7738,,
2025-02-15,0:00-4:00,185.6505,60.6267,0:00,10699.9523
,4:00-8:00,61.2784,6238.3171,24:00,10407.2466
,8:00-12:00,5454.8978,313.695,,
,12:00-16:00,2573.0891,0.0,,
,16:00-20:00,0.0,5470.2728,,
,20:00-24:00,9811.885,2830.8322,,
2025-02-16,0:00-4:00,436.3927,0.0,0:00,10407.2466
,4:00-8:00,879.5489,712.4346,24:00,10655.3373
,8:00-12:00,5171.2902,6522.795,,
,12:00-16:00,3832.5152,770.2874,,
,16:00-20:00,0.0,4735.0672,,
,20:00-24:00,10120.014,3592.3406,,
2025-02-17,0:00-4:00,199.6225,31.4978,0:00,10655.3373
,4:00-8:00,1395.9183,1612.2058,24:00,10642.7878
,8:00-12:00,5144.4977,4814.1284,,
,12:00-16:00,2216.4734,666.7461,,
,16:00-20:00,0.0,4745.027,,
,20:00-24:00,10142.5106,3611.8975,,
2025-02-18,0:00-4:00,205.698,25.1244,0:00,10642.7878
,4:00-8:00,1620.2079,1312.3684,24:00,10800.0
,8:00-12:00,5083.5188,5053.8258,,
,12:00-16:00,2390.0718,999.7826,,
,16:00-20:00,0.0,4508.3424,,
,20:00-24:00,10097.8233,3670.8945,,
2025-02-19,0:00-4:00,151.7968,122.9554,0:00,10800.0
,4:00-8:00,1507.2425,1606.8831,24:00,10510.4071
,8:00-12:00,5141.9118,5978.2155,,
,12:00-16:00,3964.8808,1012.2698,,
,16:00-20:00,0.0,4655.9058,,
,20:00-24:00,9963.988,3675.5581,,
2025-02-20,0:00-4:00,347.7786,21.0671,0:00,10510.4071
,4:00-8:00,1485.3824,2416.4985,24:00,10800.0
,8:00-12:00,4828.5436,5766.4346,,
,12:00-16:00,4205.9617,338.1759,,
,16:00-20:00,9.8627,4483.7215,,
,20:00-24:00,9986.0341,3612.9548,,
2025-02-21,0:00-4:00,51.7137,41.8881,0:00,10800.0
,4:00-8:00,107.0229,7244.4532,24:00,10760.9834
,8:00-12:00,6659.3324,257.8341,,
,12:00-16:00,2495.7276,0.0,,
,16:00-20:00,0.0,5427.9579,,
,20:00-24:00,9941.8227,2660.0335,,
2025-02-22,0:00-4:00,112.6523,77.3369,0:00,10760.9834
,4:00-8:00,190.923,7266.1435,24:00,10724.4791
,8:00-12:00,5979.3891,273.6484,,
,12:00-16:00,3164.2501,0.0,,
,16:00-20:00,0.0,5462.9005,,
,20:00-24:00,10053.461,2748.3718,,
2025-02-23,0:00-4:00,119.879,29.1332,0:00,10724.4791
,4:00-8:00,1654.8679,1340.443,24:00,10688.7627
,8:00-12:00,5250.9559,5632.6085,,
,12:00-16:00,2417.1556,578.5618,,
,16:00-20:00,0.0,4585.8656,,
,20:00-24:00,10041.4352,3647.8105,,
2025-02-24,0:00-4:00,141.1633,14.2286,0:00,10688.7627
,4:00-8:00,1490.2067,2888.0117,24:00,10800.0
,8:00-12:00,5267.3081,4276.9186,,
,12:00-16:00,2775.2632,556.6198,,
,16:00-20:00,0.0,4434.9824,,
,20:00-24:00,10010.4189,3673.4569,,
2025-02-25,0:00-4:00,62.6113,50.7152,0:00,10800.0
,4:00-8:00,1225.621,2392.0849,24:00,10658.7825
,8:00-12:00,5638.2898,3740.1206,,
,12:00-16:00,1174.8078,379.1565,,
,16:00-20:00,0.0,4627.5209,,
,20:00-24:00,9969.711,3575.0408,,
2025-02-26,0:00-4:00,173.9802,13.8282,0:00,10658.7825
,4:00-8:00,1698.5686,1575.9115,24:00,10800.0
,8:00-12:00,5202.3476,4013.8306,,
,12:00-16:00,937.5951,759.4521,,
,16:00-20:00,0.8126,4492.0656,,
,20:00-24:00,10004.2044,3611.9982,,
2025-02-27,0:00-4:00,40.0637,32.4516,0:00,10800.0
,4:00-8:00,1508.0035,2217.0374,24:00,10688.6914
,8:00-12:00,5505.933,5320.0001,,
,12:00-16:00,2985.6762,562.6489,,
,16:00-20:00,0.0,4677.0701,,
,20:00-24:00,10124.4089,3623.8789,,
2025-02-28,0:00-4:00,170.4689,37.902,0:00,10688.6914
,4:00-8:00,220.5934,7433.8942,24:00,10503.3325
,8:00-12:00,8034.3479,109.2663,,
,12:00-16:00,1057.6026,0.0,,
,16:00-20:00,0.0,5514.3788,,
,20:00-24:00,9919.3215,2787.2723,,
2025-03-01,0:00-4:00,390.9783,49.6917,0:00,10503.3325
,4:00-8:00,405.276,6748.9456,24:00,10630.4197
,8:00-12:00,5820.0952,149.641,,
,12:00-16:00,2291.4025,0.0,,
,16:00-20:00,0.0,5485.8606,,
,20:00-24:00,9952.7023,2728.4505,,
2025-03-02,0:00-4:00,188.4226,0.0,0:00,10630.4197
,4:00-8:00,1872.9628,1861.2821,24:00,10224.061
,8:00-12:00,4958.1228,4707.8456,,
,12:00-16:00,3156.0177,2566.5654,,
,16:00-20:00,567.32,4586.8634,,
,20:00-24:00,10054.4485,3488.9749,,
2025-03-03,0:00-4:00,663.1711,18.8235,0:00,10224.061
,4:00-8:00,1298.4306,3392.8519,24:00,10618.6014
,8:00-12:00,4774.3164,5904.0064,,
,12:00-16:00,6645.0344,1431.2286,,
,16:00-20:00,534.0987,4658.1793,,
,20:00-24:00,9953.1044,3573.0298,,
2025-03-04,0:00-4:00,305.7662,84.4119,0:00,10618.6014
,4:00-8:00,1496.3431,3919.6315,24:00,10748.2452
,8:00-12:00,4283.9955,5043.5822,,
,12:00-16:00,6221.2656,758.0857,,
,16:00-20:00,0.0,4583.7879,,
,20:00-24:00,10065.517,3615.8602,,
2025-03-05,0:00-4:00,57.5053,0.0,0:00,10748.2452
,4:00-8:00,1414.218,3345.4427,24:00,10671.8355
,8:00-12:00,5324.9271,3788.2952,,
,12:00-16:00,3221.7838,934.6146,,
,16:00-20:00,0.0,4609.4109,,
,20:00-24:00,10120.076,3703.1987,,
2025-03-06,0:00-4:00,182.8873,32.7907,0:00,10671.8355
,4:00-8:00,1870.4573,2360.2379,24:00,10800.0
,8:00-12:00,5092.6213,3681.6299,,
,12:00-16:00,1590.0366,886.1555,,
,16:00-20:00,0.0,4548.142,,
,20:00-24:00,10058.2444,3599.0359,,
2025-03-07,0:00-4:00,32.7284,26.51,0:00,10800.0
,4:00-8:00,324.3668,6477.6029,24:00,10682.0127
,8:00-12:00,7672.6738,0.0,,
,12:00-16:00,0.0,19.2873,,
,16:00-20:00,56.8988,5479.7304,,
,20:00-24:00,9880.0056,2656.0635,,
2025-03-08,0:00-4:00,217.3647,248.8332,0:00,10682.0127
,4:00-8:00,52.3352,7437.0226,24:00,10696.6964
,8:00-12:00,9115.993,9.5746,,
,12:00-16:00,245.9355,0.0,,
,16:00-20:00,0.0,5465.7251,,
,20:00-24:00,9938.9675,2677.8118,,
2025-03-09,0:00-4:00,145.097,24.5553,0:00,10696.6964
,4:00-8:00,1367.0688,2610.4518,24:00,10740.057
,8:00-12:00,5271.5404,3801.2892,,
,12:00-16:00,1899.5101,504.1357,,
,16:00-20:00,0.0,4645.5093,,
,20:00-24:00,10103.2766,3592.0935,,
2025-03-10,0:00-4:00,168.2884,82.3649,0:00,10740.057
,4:00-8:00,1776.8429,1597.5148,24:00,10800.0
,8:00-12:00,5198.1317,4487.951,,
,12:00-16:00,1048.4519,413.5097,,
,16:00-20:00,0.0,4753.675,,
,20:00-24:00,10228.2233,3531.1858,,
2025-03-11,0:00-4:00,0.0,0.0,0:00,10800.0
,4:00-8:00,1387.4993,2550.2691,24:00,10800.0
,8:00-12:00,5515.3412,3044.9297,,
,12:00-16:00,752.7839,605.8569,,
,16:00-20:00,0.0,4570.9707,,
,20:00-24:00,10025.6951,3549.8423,,
2025-03-12,0:00-4:00,67.2344,81.7871,0:00,10800.0
,4:00-8:00,1520.2349,3624.0328,24:00,10800.0
,8:00-12:00,5882.8894,2948.4221,,
,12:00-16:00,1240.4949,401.5494,,
,16:00-20:00,39.717,4542.0792,,
,20:00-24:00,10099.5923,3670.7613,,
2025-03-13,0:00-4:00,40.1302,32.5055,0:00,10800.0
,4:00-8:00,1314.501,4054.3352,24:00,10492.1637
,8:00-12:00,4561.4471,4302.1013,,
,12:00-16:00,4975.5701,433.2932,,
,16:00-20:00,0.0,4837.0859,,
,20:00-24:00,10110.8401,3629.7472,,
2025-03-14,0:00-4:00,532.5377,854.6135,0:00,10492.1637
,4:00-8:00,111.5869,7005.6573,24:00,10700.0155
,8:00-12:00,9401.9537,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,13.441,5584.5993,,
,20:00-24:00,10204.9196,2782.2588,,
