日期,开始时刻,结束时刻,时长min,紧急购电量kWh,平均功率kW
2025-03-02,20:40,20:50,10,92.3147,553.8884
2025-03-02,21:00,21:10,10,4.5072,27.0434
2025-03-16,6:00,6:10,10,1.64,9.84
2025-04-28,20:20,20:50,30,2108.8075,4217.615
2025-04-28,21:00,21:10,10,5.4014,32.4082
2025-05-01,20:40,21:20,40,1029.7425,1544.6137
2025-05-02,20:30,21:30,60,1757.8425,1757.8425
2025-05-02,21:40,22:00,20,79.5761,238.7283
2025-05-03,20:40,22:00,80,1120.091,840.0683
2025-05-04,20:40,22:00,80,840.0774,630.0581
2025-05-05,20:40,20:50,10,602.6506,3615.9038
2025-05-05,21:10,21:40,30,97.9835,195.967
2025-05-06,20:40,22:00,80,712.3081,534.2311
2025-05-07,20:20,21:00,40,1864.8447,2797.267
2025-05-07,21:20,22:00,40,124.4771,186.7156
2025-05-08,20:10,20:20,10,35.9992,215.9955
2025-05-11,19:20,19:40,20,41.1807,123.5421
2025-05-19,20:30,20:40,10,67.0033,402.02
2025-05-22,20:30,20:40,10,2.57,15.42
2025-05-26,20:30,20:50,20,1066.374,3199.1221
2025-05-29,19:20,19:30,10,17.8174,106.9046
2025-06-01,9:40,11:50,130,1479.2977,682.7528
2025-06-01,15:20,20:50,330,11215.0839,2039.1062
2025-06-01,21:00,22:00,60,300.2575,300.2575
2025-06-02,9:10,9:40,30,345.8638,691.7275
2025-06-02,19:10,21:40,150,6355.0604,2542.0241
2025-06-02,21:50,22:00,10,2.6518,15.9109
2025-06-03,8:50,10:30,100,1418.368,851.0208
2025-06-03,19:00,22:00,180,8632.0086,2877.3362
2025-06-04,19:00,21:50,170,8445.9349,2980.9182
2025-06-05,8:50,10:10,80,1010.5743,757.9307
2025-06-05,19:00,21:10,130,6893.0033,3181.3861
2025-06-05,21:20,22:00,40,181.6437,272.4656
2025-06-06,6:00,7:50,110,1541.9827,841.0815
2025-06-06,19:40,22:00,140,4322.7438,1852.6045
2025-06-07,6:20,7:50,90,1012.6796,675.1197
2025-06-07,19:50,22:00,130,3757.5285,1734.2439
2025-06-09,19:00,19:10,10,19.0869,114.5215
2025-06-09,20:30,20:40,10,14.8248,88.9485
2025-06-10,20:10,20:20,10,0.1375,0.8247
2025-06-11,9:40,11:00,80,1276.8702,957.6527
2025-06-11,19:30,19:40,10,4.8776,29.2655
2025-06-11,20:30,20:50,20,935.2916,2805.8747
2025-06-15,20:30,20:50,20,785.6991,2357.0972
2025-06-17,19:30,19:40,10,37.8653,227.192
2025-06-18,20:00,20:10,10,5.7307,34.384
2025-06-18,20:30,20:40,10,4.5249,27.1495
2025-06-19,19:20,19:40,20,60.1991,180.5972
2025-06-24,10:20,11:00,40,618.0392,927.0588
2025-06-26,19:50,20:00,10,7.7418,46.4511
2025-06-29,9:50,10:20,30,67.5001,135.0002
2025-06-30,10:00,10:50,50,479.5004,575.4005
2025-06-30,19:00,19:10,10,42.6077,255.6463
2025-07-01,19:00,20:20,80,544.4014,408.3011
2025-07-01,20:30,20:50,20,441.0814,1323.2443
2025-07-01,21:00,22:00,60,388.2198,388.2198
2025-07-02,19:00,20:20,80,710.7723,533.0792
2025-07-02,20:30,21:50,80,1134.6163,850.9622
2025-07-03,9:20,10:40,80,750.3352,562.7514
2025-07-03,19:00,19:20,20,89.486,268.458
2025-07-03,19:30,22:00,150,3418.3619,1367.3448
2025-07-04,5:00,7:30,150,3145.1699,1258.0679
