一,二,三,四,五,六,日
126.8267,126.9275,127.2862,127.6571,81.8836,81.8917,127.6741
126.9804,127.1095,126.6959,127.0666,81.4866,81.6102,126.5193
126.5657,125.7501,126.9639,126.8078,80.8761,81.2081,126.2108
125.6430,126.4966,126.6796,126.3554,80.3395,80.6321,126.3850
122.6038,121.5781,125.4254,126.0110,80.0099,76.3052,121.7060
121.4776,121.4413,121.9911,122.2522,76.1686,75.7468,121.5479
120.9604,121.3313,121.3639,121.3103,75.8726,76.0546,121.2770
120.6290,121.0933,121.8668,121.1053,75.8020,75.6822,121.1421
117.9587,118.1390,121.0607,120.5995,75.3851,72.2442,117.8604
117.9431,117.4996,118.0734,117.6736,71.6804,72.3447,117.6930
117.6936,117.2534,118.1122,118.2373,72.1089,72.7250,117.9832
117.4252,118.0532,117.2816,117.6484,72.5935,71.9369,117.7400
117.0757,117.9671,117.7046,117.9526,71.8918,72.1183,117.9947
117.0151,117.7133,117.9866,117.8845,71.7358,72.6027,117.2054
117.9014,117.0569,117.6775,117.6687,72.0920,71.9572,117.2831
118.4816,117.8110,117.9249,117.4870,71.4902,71.9054,117.1978
117.5373,117.2528,118.0305,117.4978,71.7633,72.1009,117.0325
120.6122,121.0172,117.6829,120.3646,74.7610,74.8948,120.6701
120.4486,120.2696,121.1602,120.4455,74.2538,74.6480,120.7431
120.0724,120.4376,120.5920,119.5983,74.6813,75.2745,120.6870
119.4080,120.0468,120.2831,119.7297,74.9834,74.6938,120.3199
128.0805,128.0768,119.9218,120.4393,74.6122,74.7783,128.2486
128.1692,127.4145,128.5398,128.4559,82.7474,83.1568,128.2669
127.6186,127.3118,128.2367,127.7218,81.8896,82.2532,127.3689
126.6909,127.1128,126.9091,127.3491,81.1371,81.4081,126.5395
125.9473,141.5469,126.3104,126.6974,79.5633,80.6616,126.3848
141.4954,141.2852,141.1987,141.5655,95.7951,95.8728,141.2446
141.0624,139.5452,140.5907,140.4635,94.7411,95.3184,139.8934
138.4428,139.5149,140.3653,139.5692,93.6981,94.5645,138.7505
138.2290,138.3147,139.4500,138.9022,92.3548,93.1877,138.1102
138.3121,136.4585,138.4244,137.4233,92.7194,91.5622,138.0625
136.4223,136.6376,136.7161,136.8508,90.7032,90.3038,136.5354
135.7102,135.3645,136.5480,135.9361,89.9681,90.1835,135.3691
134.5116,134.3690,135.0481,134.9718,90.5317,89.6971,135.0681
121.2636,121.5328,133.7884,134.5438,88.3283,89.0251,133.3654
121.4006,121.0822,121.4337,121.0612,75.1330,75.8264,120.7810
120.7600,121.8434,121.2748,120.7468,75.6872,75.0636,121.2377
121.2180,121.1823,120.9248,120.8041,75.2871,75.3307,120.8623
121.1114,120.9165,121.0142,120.5463,74.1944,75.9458,120.3896
117.8961,117.3572,117.2185,117.2317,71.5242,72.3974,117.6044
117.6778,118.0322,117.3911,117.4330,72.3715,71.7910,117.7094
117.9033,117.8008,117.3425,117.7333,71.9432,71.6567,117.9912
117.7906,117.5141,117.6720,117.2120,72.1355,72.0428,117.4223
117.8089,117.3966,117.7216,116.9161,71.7490,71.9742,117.8432
118.4201,117.9579,117.7644,117.7131,72.2124,72.0349,117.8777
117.2697,117.7837,117.4167,117.7801,71.7379,72.4670,118.3603
117.9757,117.6824,118.1797,117.8465,71.9992,72.5499,117.7827
125.2914,125.4006,117.6864,117.1981,72.2390,72.1562,118.0088
124.4104,124.6947,124.6229,125.3363,78.8681,79.4708,125.0675
124.3052,124.6469,124.3788,123.7878,78.6617,78.8402,124.5226
124.7185,123.9567,124.4666,124.3154,78.5933,78.6685,124.3764
123.6773,123.5265,123.9544,123.7899,78.2703,78.4092,123.5113
,,123.7917,,,,
