日期,日均价元每kWh,日负载MWh,日光伏MWh
2025-01-01,0.9265,127.2862,35.2510
2025-01-02,0.9266,127.6571,34.7718
2025-01-03,0.7386,81.8836,36.3786
2025-01-04,0.7303,81.8917,37.1261
2025-01-05,0.9252,127.6741,36.6384
2025-01-06,0.9290,126.8267,36.1942
2025-01-07,0.9234,126.9275,34.3606
2025-01-08,0.9174,126.6959,37.1699
2025-01-09,0.9206,127.0666,35.9751
2025-01-10,0.7293,81.4866,35.9960
2025-01-11,0.7342,81.6102,36.7443
2025-01-12,0.9254,126.5193,35.6534
2025-01-13,0.9149,126.9804,38.7064
2025-01-14,0.9169,127.1095,37.8292
2025-01-15,0.9231,126.9639,36.8936
2025-01-16,0.9151,126.8078,37.7336
2025-01-17,0.7245,80.8761,38.1870
2025-01-18,0.7224,81.2081,37.9655
2025-01-19,0.9177,126.2108,37.5277
2025-01-20,0.9135,126.5657,38.4986
2025-01-21,0.8956,125.7501,42.2742
2025-01-22,0.9191,126.6796,37.7808
2025-01-23,0.9220,126.3554,36.7895
2025-01-24,0.7099,80.3395,40.5101
2025-01-25,0.7050,80.6321,42.1925
2025-01-26,0.9162,126.3850,38.6861
2025-01-27,0.8984,125.6430,41.4480
2025-01-28,0.9057,126.4966,39.5162
2025-01-29,0.8898,125.4254,44.0402
2025-01-30,0.9001,126.0110,42.2685
2025-01-31,0.7114,80.0099,41.2456
2025-02-01,0.6515,76.3052,41.9270
2025-02-02,0.8364,121.7060,43.3497
2025-02-03,0.8448,122.6038,42.3869
2025-02-04,0.8492,121.5781,40.3832
2025-02-05,0.8483,121.9911,41.2427
2025-02-06,0.8440,122.2522,41.9811
2025-02-07,0.6440,76.1686,44.3629
2025-02-08,0.6424,75.7468,44.1696
2025-02-09,0.8414,121.5479,41.9925
2025-02-10,0.8181,121.4776,47.1509
2025-02-11,0.8285,121.4413,46.2207
2025-02-12,0.8264,121.3639,46.0971
2025-02-13,0.8148,121.3103,49.9808
2025-02-14,0.6311,75.8726,46.0708
2025-02-15,0.6378,76.0546,46.7745
2025-02-16,0.8303,121.2770,45.8996
2025-02-17,0.8174,120.9604,49.7765
2025-02-18,0.8145,121.3313,49.2399
2025-02-19,0.8164,121.8668,48.9875
2025-02-20,0.8168,121.1053,50.1121
2025-02-21,0.6209,75.8020,50.2417
2025-02-22,0.6353,75.6822,47.8375
2025-02-23,0.8154,121.1421,49.6103
2025-02-24,0.8082,120.6290,52.4260
2025-02-25,0.7941,121.0933,55.2720
2025-02-26,0.8055,121.0607,52.2459
2025-02-27,0.7979,120.5995,53.6429
2025-02-28,0.6167,75.3851,52.0925
2025-03-01,0.6142,72.2442,48.5854
2025-03-02,0.8123,117.8604,45.5021
2025-03-03,0.8118,117.9587,45.9416
2025-03-04,0.8006,118.1390,48.9396
2025-03-05,0.7945,118.0734,51.9430
2025-03-06,0.7919,117.6736,51.7329
2025-03-07,0.6085,71.6804,50.7581
2025-03-08,0.5973,72.3447,53.2816
2025-03-09,0.7838,117.6930,54.3595
2025-03-10,0.8025,117.9431,49.9010
2025-03-11,0.7894,117.4996,53.5606
2025-03-12,0.7802,118.1122,55.6767
2025-03-13,0.7996,118.2373,50.6917
2025-03-14,0.5914,72.1089,56.0794
2025-03-15,0.6048,72.7250,51.8009
2025-03-16,0.7849,117.9832,54.6322
2025-03-17,0.7602,117.6936,59.8355
2025-03-18,0.7760,117.2534,56.1275
2025-03-19,0.7718,117.2816,57.8161
2025-03-20,0.7786,117.6484,55.4394
2025-03-21,0.5703,72.5935,60.5601
2025-03-22,0.5874,71.9369,56.0557
2025-03-23,0.7672,117.7400,58.9703
2025-03-24,0.7675,117.4252,59.4267
2025-03-25,0.7713,118.0532,57.1030
2025-03-26,0.7566,117.7046,62.1121
2025-03-27,0.7664,117.9526,59.2356
2025-03-28,0.5748,71.8918,61.0699
2025-03-29,0.5631,72.1183,64.4111
2025-03-30,0.7520,117.9947,62.6491
2025-03-31,0.7607,117.0757,60.1243
